"id","sku","name","description","measure","price","mrp","on_hand","taxons","has_variants","no_of_variants","deleted_at",
1025788171,,,,"250 ml",39.2,40,0,,,,,2
1060501424,,"Dabur Coconut Milk (Food) ",,,21.6,22,0,"Groceries/Beverages/Juices","TRUE",1,,1.818181818
1025788173,,,,"200 ml",21.6,22,0,,,,,1.818181818
1060501425,,"Complan Mango Reffil ",,,181.3,185,0,"Groceries/Beverages/Health Drinks","TRUE",1,,2
1025788175,,,,"500 gms",181.3,185,0,,,,,2
1060501426,,"Complan Tall Pack ",,,336.1,343,0,"Groceries/Beverages/Health Drinks","TRUE",1,,2.011661808
1025788177,,,,"1 kg",336.1,343,0,,,,,2.011661808
1060501427,,"Complan Kesar Badam ",,,95.1,97,1000,"Groceries/Beverages/Health Drinks","TRUE",2,,1.958762887
1025788180,,,,"175 gms",95.1,97,1000,,,,,1.958762887
1025788179,,,,"400 gms",186.2,190,1000,,,,,2
1060501428,,"Complan Caramel Reffil ",,,181.3,185,1000,"Groceries/Beverages/Health Drinks","TRUE",1,,2
1025788183,,,,"500 gms",181.3,185,1000,,,,,2
1060501429,,"Complan Choc Reffil ",,,92.1,94,1000,"Groceries/Beverages/Health Drinks","TRUE",3,,2.021276596
1025788187,,,,"200 gms",92.1,94,1000,,,,,2.021276596
1025788186,,,,"500 gms",191.1,195,1000,,,,,2
1025788185,,,,"1 kg",348.9,356,0,,,,,1.994382022
1060501430,,"Complan Choc Sachet ",,,4.9,5,0,"Groceries/Beverages/Health Drinks","TRUE",1,,2
1025788189,,,,"15 gms",4.9,5,0,,,,,2
1060501431,,"Complan Choc Jar ",,,96,98,0,"Groceries/Beverages/Health Drinks","TRUE",2,,2.040816327
1025788192,,,,"200 gms",96,98,0,,,,,2.040816327
1025788191,,,,"500 gms",191.1,195,0,,,,,2
1060501432,,"Complan Plain Reffil ",,,76.4,78,1000,"Groceries/Beverages/Health Drinks","TRUE",2,,2.051282051
1025788195,,,,"200 gms",76.4,78,1000,,,,,2.051282051
1025788194,,,,"500 gms",156.8,160,1000,,,,,2
1060501433,,"Complan Plain Jar ",,,180.3,184,0,"Groceries/Beverages/Health Drinks","TRUE",1,,2.010869565
1025788197,,,,"500 gms",180.3,184,0,,,,,2.010869565
1060501434,,"Complan Strawberry Reffil ",,,181.3,185,0,"Groceries/Beverages/Health Drinks","TRUE",1,,2
1025788199,,,,"500 gms",181.3,185,0,,,,,2
1060501435,,"BRU Green Label Coffee Powder",,,4.9,5,0,"Groceries/Beverages/Tea & Coffee","TRUE",4,,2
1025788204,,,,"20 gms",4.9,5,0,,,,,2
1025788203,,,,"50 gms",11.8,12,0,,,,,1.666666667
1025788202,,,,"100 gms",22.5,23,0,,,,,2.173913043
1025788201,,,,"200 gms",44.1,45,0,,,,,2
1060501436,,"BRU Instant Coffee Powder Jar",,,102.9,105,0,"Groceries/Beverages/Tea & Coffee","TRUE",2,,2
1025788207,,,,"100 gms",107.8,110,1000,,,,,2
1025788206,,,,"200 gms",196,200,0,,,,,2
,,"BRU Instant Coffee Glass Jar",,,51.9,53,1000,"Groceries/Beverages/Tea & Coffee","TRUE",1,,2.075471698
,,,,"50 gms",51.9,53,1000,,,,,2.075471698
,,"BRU Select",,,34.3,35,1000,"Groceries/Beverages/Tea & Coffee","TRUE",2,,2
,,,,"100 gms",34.3,35,1000,,,,,2
,,,,"200 gms",65.7,67,1000,,,,,1.940298507
1060501437,,"BRU Super Strong",,,48,49,1000,"Groceries/Beverages/Tea & Coffee","TRUE",2,,2.040816327
1025788210,,,,"50 gms",48,49,1000,,,,,2.040816327
1025788209,,,,"500 gms",253.8,259,1000,,,,,2.007722008
1060501438,,"Bru Instant Powder Pouch",,,51.9,53,1000,"Groceries/Beverages/Tea & Coffee","TRUE",3,,2.075471698
,,,,"50 gms",51.9,53,1000,,,,,2.075471698
,,,,"200 gms",186.2,190,1000,,,,,2
1025788212,,,,"750 gms",382.2,390,0,,,,,2
1060501439,,"BRU Cappuccino Ice",,,73.5,75,1000,"Groceries/Beverages/Tea & Coffee","TRUE",1,,2
1025788214,,,,"120 gms",73.5,75,1000,,,,,2
1060501440,,"Bournvita",,,62.7,64,1000,"Groceries/Beverages/Health Drinks","TRUE",3,,2.03125
1025788216,,,,"200 gms",62.7,64,1000,,,,,2.03125
1025790443,,,,"500 gms",142.1,145,1000,,,,,2
1025790427,,,,"1 kg",274.4,280,1000,,,,,2
1060501441,,"Bournvita 5 Star magic",,,139.2,142,1000,"Groceries/Beverages/Health Drinks","TRUE",1,,1.971830986
1025788218,,,,"500 gms",139.2,142,1000,,,,,1.971830986
1060501442,,"Boost Bites ",,,11.8,12,0,"Groceries/Beverages/Health Drinks","TRUE",1,,1.666666667
1025788220,,,,"75 gms",11.8,12,0,,,,,1.666666667
1060501443,,"Boost BIB ",,,63.7,65,0,"Groceries/Beverages/Health Drinks","TRUE",3,,2
